press,headline
연합뉴스,"시진핑, 伊총리에 전기차협력·수입확대 '유화 제스처'"
지디넷코리아,파리서 팔린 현대차·기아 10대 중 6대가 친환경차
머니투데이,"""샤오미, 베이징 산업 용지 매입 완료…내년 2번째 전기차 공장 가동"""
KBS,전기차 수요 정체…2차 전지 소재 부진 장기화
경향신문,"현대차, WFP와 손잡고 친환경 모빌리티 전령사로 나선다"
아이뉴스24,"삼성SDI, 2분기 영업익 37.6% 감소…전기차 '캐즘' 영향"
문화일보,최상 승차감·극강 하차감… 전기차 ‘품격’ 으로 달린다 [자동차]
매일경제,"현대차, 유엔 WFP 식량 조달 차량으로 ‘아이오닉5’ 기증"
중앙일보,"현대차, 국제식량기구와 협약...전 세계 사무소에 아이오닉5 지원"
한국경제,전기차 판매 줄더니…삼성SDI 매출·영업익 모두 전년비 감소
한국경제,"""콧대 높던 일본 변했다""…현대차 사장 초청한 이유 알고 보니"
아이뉴스24,"현대차, WFP와 모빌리티 부문 파트너십 체결"
아이뉴스24,"[컨콜] 삼성전기 ""EV 시장 둔화라지만…전장용 MLCC 하반기 두 자릿수 성장"""
더팩트,"현대차, 유엔세계식량계획과 모빌리티 파트너십…""업무차량 친환경 전환"""
오토타임즈,"유럽 프리미엄 브랜드, 중국 전기차에 밀리나"
오토타임즈,"현대차·기아, 프랑스 친환경차 판매 비중 60% 육박"
경향신문,"현대차, 세계식량기구에 ‘친환경 모빌리티’ 지원"
조선비즈,[뉴테크] 전기차도 무선 충전…10분에 절반 채웠다
머니투데이,중국 헝다그룹 또 위기…전기차 계열사 2곳 파산 신청
데일리안,"전기차 캐즘에…삼성SDI, 2분기 영업익 38% 급감"
문화일보,"현대차, WFP와 친환경 모빌리티 등 지속가능발전 맞손"
디지털타임스,"현대차, WFP에 `아이오닉5` 업무차로 지원…EV 인프라 구축도"
동아일보,"현대차-유엔세계식량계획, 모빌리티 부문 파트너십 체결"
데일리안,"현대차·기아, 프랑스서 신차 10대 중 6대는 친환경차 팔았다"
연합뉴스,"현대차, WFP와 친환경 모빌리티 등 지속가능발전 맞손"
한국경제,전기차로 도약 기회 얻은 광주글로벌모터스…캐스퍼 일렉트릭 50개국에 수출 전망
머니투데이,"현대차, 유엔세계식량계획과 모빌리티 부문 파트너십"
지디넷코리아,"현대차, 개발도상국 식량 원조 기관에 '아이오닉5' 공급"
매일경제,일론머스크가 민주당 손절한 ‘진짜 이유’…“전기차 행사 문전박대가 출발점”
연합뉴스,"두산로보틱스, 서울시·LG전자와 전기차 충전인프라 구축 업무협약 체결"
한국경제TV,"현대차·기아, 프랑스 판매 신차 10대 중 6대가 '친환경차'"
뉴시스,"""친환경차도 금메달감""…현대차·기아 프랑스서 친환경차 '인기'"
YTN,"시진핑, 이탈리아 총리에 전기차·AI 협력 등 손짓"
조선비즈,"현대차, 유엔세계식량계획과 모빌리티 파트너십 체결"
국민일보,"현대차, 아이오닉5 WFP에 기부, 이동 차량으로 활용"
매일경제,"EU 분열 파고드는 中 … 시진핑 ""伊와 전기차·AI 협력"""
연합뉴스,"두산로보틱스·서울시·LG전자, 이용 편리한 전기차 충전인프라 구축 MOU"
한국경제,"현대차, 유엔세계식량계획과 모빌리티 부문 파트너십 체결"
연합뉴스,"두산로보틱스·서울시·LG전자, 이용 편리한 전기차 충전인프라 구축 MOU"
국민일보,"위기의 中헝다, 전기차 계열사 2곳 파산 및 법정 관리"
파이낸셜뉴스,유엔 기구가 현대차 '아이오닉 5' 사용한다고?
데일리안,"현대차, 유엔세계식량계획 전 세계 주요 사무소에 아이오닉 5 제공"
뉴시스,"""아이오닉5, 유엔사무소 누빈다""…현대차, 유엔기구 협약"
매일경제,현대차 글로벌 톱3 … 도요타와 격차 더 줄여
전자신문,"중국산 전기차, 상반기 유럽 車 점유율 '18.2%' 껑충"
한국경제,"현대차, UN세계식량기구에 '아이오닉 5' 제공…파트너십 체결"
조선비즈,글로벌 전기차 부진 속 테슬라 자리 넘보는 中 전기차 업계
더팩트,"현대차·기아, 프랑스 판매 10대 중 6대 친환경차…소형 EV 공략"
스포츠동아,"현대차·기아, 올림픽 열리고 있는 프랑스서 판매하는 신차 10대 중 6대는 친환경차"
YTN,"현대차, 유엔 세계식량기구와 모빌리티 협력 체결"
디지털타임스,"현대차·기아, 프랑스 신차 10대 중 6대 친환경차"
