press,title,tokenized
오토타임즈,"국내 전기차 판매 톱5, 1위는 '코나 일렉트릭'","['국내', '전기차', '판매', '톱', '위', '코', '렉', '트릭']"
IT동아,양산차 제조사의 전기차는 일반 자동차보다 성능이 낮을까?,"['산차', '제조', '사의', '전기차', '일반', '자동차', '성능']"
한겨레,"""유럽 기준 -100km""..한국 오면 짧아지는 '전기차 주행거리'의 비밀","['유럽', '기준', '한국', '전기차', '주행', '거리', '의', '비밀']"
중앙일보,"전기차 트럭, 테슬라도 팔 걷었지만 ""완충 2시간"" 차주들 허탈","['전기차', '트럭', '테슬라', '팔', '완충', '차주', '허탈']"
연합뉴스,"""미래 생존 희망은 전기차""..중국서 '합종연횡' 치열","['미래', '생존', '희망', '전기차', '중국', '합종연횡', '치열']"
KBS,"잘 나가는 전기차, 몇 명이 만들어요?..친환경차 시대 일자리는?","['전기차', '몇', '명', '친환', '경차', '시대', '일자리']"
KBS,[친절한 경제] 미세먼지 내뿜는 이륜차..초소형 전기차가 답?,"['경제', '미세먼지', '내뿜는', '이륜차', '초소', '전기차', '답']"
중앙일보,배터리는 10일이 분수령..전기차 확산 원년인데 '발 동동',"['배터리', '분수령', '전기차', '확산', '원년', '발', '동동']"
한국경제,"애플 전기차 ""만든다 vs 안 만든다""..갑론을박 [김현석의 월스트리트나우]","['애플', '전기차', '안', '갑론', '박', '김현석', '월스트리트', '나우']"
중앙일보,"전기차 빅뱅..2020년을 잡는 자, 모빌리티의 미래 주도한다","['전기차', '빅뱅', '자', '모빌리티', '미래']"
전자신문,[사설]검토 필요한 전기차 충전요금,"['사설', '검토', '전기차', '충전', '요금']"
시사저널,'전기차 시대' 대전환기에 던져진 묵직한 질문들,"['전기차', '시대', '환기', '질문']"
MBN,"""전기차, 탄력받다 말아""..할인 종료 '설상가상'","['전기차', '탄력', '말', '할인', '종료', '설상가상']"
지디넷코리아,[분석] 주행거리 변화 없이 출시된 2020년형 코나 전기차,"['분석', '주행', '거리', '변화', '출시', '코', '전기차']"
연합뉴스,"바이든 시대 대세는 전기차?..서학개미, 관련주 1천억 사들여","['바이든', '시대', '대세', '전기차', '서학', '개미', '관련', '주']"
뉴시스,"GM, '얼티엄' 배터리·차세대플랫폼 공개..전기차 공략 강화","['얼티엄', '배터리', '차세대', '플랫폼', '공개', '전기차', '공략', '강화']"
지디넷코리아,"테슬라 모델 3, 상반기 국산 전기차 모두 제쳤다","['테슬라', '모델', '상반기', '국산', '전기차', '모두', '제']"
