press,title,tokenized
뉴시스,"정의선, 산업현장서 그린뉴딜 이끈다..전기차·수소사회 청사진내놔","['정의선', '산업', '현장', '그린', '뉴딜', '전기차', '수소', '사회', '청사진']"
연합뉴스,[특징주] 전기차시장 성장 전망에 배터리업체 주가 강세(종합),"['특징', '주', '전기차', '시장', '성장', '전망', '배터리', '업체', '주가', '강세', '종합']"
연합뉴스,전기차 불나면 어떻게 끌까..전기 흐르는지 먼저 확인,"['전기차', '전기', '먼저', '확인']"
지디넷코리아,"논란의 전기차 보조금 상한제, 테슬라 겨냥했나","['논란', '전기차', '보조금', '상한', '제', '테슬라', '겨냥']"
연합뉴스,CATL 배터리 단 전기차 잇따라 화재..중국 배터리는 아직?(종합),"['배터리', '단', '전기차', '화재', '중국', '배터리', '종합']"
문화일보,제로백 1.85초 .. 슈퍼 전기차가 몰려온다,"['제로', '슈퍼', '전기차']"
연합뉴스,"강원 완성형 전기차 '포트로' 첫 출고..""유럽·베트남 누빈다""","['강원', '완성형', '전기차', '포트', '첫', '출고', '유럽', '베트남', '누']"
YTN,전기차 충전요금 오른다 (김필수의 Car~ 좋다!),"['전기차', '충전', '요금', '김필수']"
뉴시스,"환경부, 올해 전기차 8만4150대·수소차 1만280대 보급","['환경부', '올해', '전기차', '수소차', '보급']"
뉴시스,[세쓸통]'테슬라 게 섰거라'..K-전기차 어디까지 왔나,"['세', '통', '테슬라', '게', '전기차', '어디']"
국민일보,성장판 활짝 열린 전기차.. 글로벌 '배터리 동맹' 잰걸음,"['장판', '활짝', '전기차', '글로벌', '배터리', '동맹', '걸음']"
매일경제,제네시스·BMW도 출격..전기차 고객은 설렌다,"['제네시스', '도', '출격', '전기차', '고객']"
연합뉴스,"싱가포르 언론 ""현대차, 싱가포르서 2022년 전기차 3만대 생산""","['싱가포르', '언론', '현대차', '싱가포르', '전기차', '생산']"
뉴시스,"빌 게이츠 새 전기차는 '포르쉐'..머스크 ""역시 감동 없어""","['게이츠', '새', '전기차', '포르쉐', '머스크', '역시', '감동']"
한국경제,"배터리 빌려쓰고, 보조금 받고..2000만원 '반값 전기차' 나온다","['배터리', '보조금', '반값', '전기차']"
중앙일보,"'테슬라 비싸지고, 아이오닉5 싸진다?'..바뀌는 전기차 보조금","['테슬라', '아이오', '닉', '전기차', '보조금']"
뉴시스,"현대·기아차, 미 '카누'와 차세대 전기차 플랫폼 공동개발","['현대', '기아차', '카누', '차세대', '전기차', '플랫폼', '공동', '개발']"
연합뉴스,러시아 700만원대 소형전기차 올해 말 대량생산..주행거리 200km,"['러시아', '소형', '전기차', '올해', '말', '대량생산', '주행', '거리']"
오토타임즈,전기차 보조금 상한제 확정..기준 가격은?,"['전기차', '보조금', '상한', '제', '확정', '기준', '가격']"
오토타임즈,"[시승]대중교통 대신 초소형 전기차 타볼까, 캠시스 쎄보-C","['승', '대중교통', '대신', '초소', '전기차', '타', '캠', '시스', '보']"
국민일보,"""테슬라 독주 더 못보겠다"".. 달아오르는 수입 전기차 시장","['테슬라', '독주', '더', '수입', '전기차', '시장']"
세계일보,"""테슬라 잡아라"".. 보조금 장착 수입 전기차 잇단 출사표","['테슬라', '보조금', '장착', '수입', '전기차', '출사표']"
연합뉴스,"폴크스바겐, 중국 전기차·배터리 기업에 2조9천억원 투자","['폴크스바겐', '중국', '전기차', '배터리', '기업', '투자']"
매일경제,전기차 시장 키운다지만..테슬라가 보조금 싹쓸이,"['전기차', '시장', '테슬라', '보조금', '싹']"
중앙일보,"[2020 중앙일보 COTY] '하나뿐인 전기차', 메르세데스-벤츠 EQC","['중앙', '일보', '하나', '전기차', '메르세데스', '벤츠']"
전자신문,VK 신화 '이철상'..전기차 시장 두 번째 도전장,"['신화', '이철상', '전기차', '시장', '두', '도전']"
뉴시스,정의선·구광모 만난다..전기차 배터리 협업 논의(종합),"['정의선', '구광모', '전기차', '배터리', '협업', '논의', '종합']"
디지털타임스,전용 플랫폼 출시 앞둔 韓전기차..10개월래 판매 최저,"['전용', '플랫폼', '출시', '전기차', '개월', '판매', '최저']"
지디넷코리아,주행거리 늘어나는 전기차..500km대 육박,"['주행', '거리', '전기차', '육박']"
한겨레,원재료부터 전기차까지..판 커지는 '배터리 합종연횡',"['재료', '전기차', '판', '배터리', '합종연횡']"
머니투데이,전기차 보조금 '하후상박'..테슬라 비싸지고 코나는 '반값',"['전기차', '보조금', '하후상', '박', '테슬라', '코나', '반값']"
YTN,전기차 전용 플랫폼 공개..내년은 대중화 '속도' 낸다,"['전기차', '전용', '플랫폼', '공개', '내년', '대중화', '속도']"
한국경제,"친환경차 10만대 시대, 하이브리드 SUV 대전..전기차도 새 모델 쏟아져","['친환', '경차', '시대', '하이브리드', '대전', '전기차', '새', '모델']"
지디넷코리아,9천만원 초과 전기차 내년부터 보조금 못 받는다,"['초과', '전기차', '내년', '보조금', '못']"
한국경제TV,"""전기차 배터리 대란 온다""..글로벌 '합작 열풍'","['전기차', '배터리', '대란', '글로벌', '합작', '열풍']"
노컷뉴스,한국타이어 '전기차 최적화' 전용 타이어 주도,"['한국', '타이어', '전기차', '최적화', '전용', '타이어', '주도']"
지디넷코리아,"정부, 전기차 보조금 지급체계 개편 나선다","['정부', '전기차', '보조금', '지급', '체계', '개편']"
일간스포츠,충전 빨라지고 신차 쏟아진다..판 커지는 전기차 시장,"['충전', '신차', '판', '전기차', '시장']"
연합뉴스,현대차 전기차 브랜드 '아이오닉'..4년간 3종 내놓는다,"['현대차', '전기차', '브랜드', '아이오', '닉', '종']"
뉴시스,"[올댓차이나] 中 전기차 비야디, 2300억원 정부 보조금 받아","['차이나', '전기차', '정부', '보조금']"
연합뉴스,"제주 운전자, 전기차 이용 '운행비 절감' 만족도 높아져","['제주', '운전자', '전기차', '이용', '운행', '비', '절감', '만족도']"
연합뉴스,"로이터 ""폴크스바겐, 중국 전기차·배터리 기업 인수 임박""","['로이터', '폴크스바겐', '중국', '전기차', '배터리', '기업', '인수', '임박']"
지디넷코리아,'전기차 메가스테이션' 그린뉴딜 힘 보탠다,"['전기차', '메', '스테이션', '그린', '뉴딜', '힘', '보탠다']"
세계일보,"전기차, 이번엔 '충돌 후 화재'.. 안전성 논란 재점화","['전기차', '이번', '충돌', '후', '화재', '안전성', '논란', '재', '점화']"
조선비즈,"[시승기] 가성비 눌러 담은 르노 전기차, 조에","['승기', '가성', '비', '르노', '전기차', '조']"
국민일보,'뼈대'부터 다른 전기차 만든다.. 전용 플랫폼 개발 전쟁,"['뼈대', '부터', '다른', '전기차', '전용', '플랫폼', '개발', '전쟁']"
전자신문,"[단독]현대차, 서울에 세계 최대 '초급속 전기차 충전소' 연다","['단독', '현대차', '서울', '세계', '최대', '초', '급속', '전기차', '충전', '소', '연']"
조선비즈,'제2의 테슬라' 어디?.. 글로벌 '전기차 스타트업' 격돌,"['제', '의', '테슬라', '어디', '글로벌', '전기차', '스타트업', '격돌']"
뉴시스,"[車블랙박스]188년 전 원유전기마차, 전기차의 시작을 알리다","['블랙박스', '전', '유전', '마차', '전기차', '시작', '알리']"
디지털타임스,전기차 보조금 '예산 돌려쓰기',"['전기차', '보조금', '예산', '쓰기']"
중앙일보,[단독] 화재·브레이크 결함..애증의 코나 전기차 국내 단종,"['단독', '화재', '브레이크', '결함', '애증', '코', '전기차', '국내', '단종']"
머니투데이,올해 전기차 보조금 놓쳤다면..잠시만 기다리세요,"['올해', '전기차', '보조금', '잠시']"
전자신문,[단독]세계 최초 '비대면 무선충전' 내년 '제네시스 전기차' 탑재,"['단독', '세계', '최초', '비대', '무선', '충전', '내년', '제네시스', '전기차', '탑재']"
디지털타임스,"제네시스, 내년은 전기차 '원년'..차세대 고급차 시장 선점","['제네시스', '내년', '전기차', '원년', '차세대', '고급', '차', '시장', '선점']"
지디넷코리아,"""야외 전기차충전소 지붕 챙겨라""..민주당, 정부에 촉구","['야외', '전기차', '충전', '소', '지붕', '민주당', '정부', '촉구']"
연합뉴스,코로나에도 전기차는 질주..현대·기아차 수출 58% 껑충,"['코로나', '전기차', '질주', '현대', '기아차', '수출', '껑충']"
한겨레,"정의선, LG 구광모도 만난다..국내 '전기차 동맹' 확대","['정의선', '구광모', '국내', '전기차', '동맹', '확대']"
조선비즈,"'100만 마일 전기차 배터리' 개발하는 美·유럽..""아시아 따라잡겠다""","['마일', '전기차', '배터리', '개발', '유럽', '아시아']"
중앙일보,"테슬라 잡아라, 아우디·BMW도 전기차 쏟아낸다","['테슬라', '아우디', '도', '전기차']"
중앙일보,"럭셔리 전기차, 아우디가 테슬라·벤츠보다 잘 팔려","['럭셔리', '전기차', '아우디', '테슬라', '벤츠']"
국민일보,팬데믹 끝나면 전기차 싸움에 불꽃 튄다,"['팬데믹', '전기차', '싸움', '불꽃']"
국민일보,전기차 충전시설 '불법주차' 단속.. 장애인 주차구역만큼 강화,"['전기차', '충전', '시설', '불법', '주차', '단속', '장애인', '주차', '구역', '강화']"
연합뉴스,"머스크 ""10년뒤 테슬라 전기차 2천만대 생산""..55배 증가 예측","['머스크', '테슬라', '전기차', '생산', '배', '증가', '예측']"
동아일보,"""애플, 이르면 2024년 자율주행 전기차 선보일 것""","['애플', '자율', '주행', '전기차', '것']"
국민일보,"'테슬라 독주' 지속..전기차 시장 판도, 내년엔 바뀔까","['테슬라', '독주', '지속', '전기차', '시장', '판도', '내년']"
매일경제,'SK 차이나 인사이더' 결실..'전기차 배터리' 中시장 질주,"['차이나', '인', '사이더', '결실', '전기차', '배터리', '시장', '질주']"
중앙일보,"바이든 '탄소 제로' 약속, K배터리·전기차 '큰 장' 온다","['바이든', '탄소', '제로', '약속', '배터리', '전기차', '장']"
동아일보,"""미래 차 시장 패권은 우리 것"".. 中 야심찬 '전기차 굴기'","['미래', '차', '시장', '패권', '우리', '것', '야심', '찬', '전기차']"
디지털타임스,글로벌 전기차 배터리 '합종연횡'..눈치싸움도 치열,"['글로벌', '전기차', '배터리', '합종연횡', '눈치', '싸움', '치열']"
연합뉴스,아우디 e-트론 55 콰트로 출시..수입차 전기차 경쟁 확대,"['아우디', '트론', '콰트로', '출시', '수입', '차', '전기차', '경쟁', '확대']"
한국경제,억대 수입 전기차에도..'화끈한 보조금' 논란,"['억대', '수입', '전기차', '보조금', '논란']"
KBS,'전기차 배터리 화재' 실험해보니..소화기 뿌리면 '활활',"['전기차', '배터리', '화재', '실험', '소화기', '뿌리', '활활']"
KBS,[ET] 잘나가던 전기차 '코나' 국내외서 대규모 리콜,"['전기차', '코', '국내외', '대규모', '리콜']"
연합뉴스,테슬라 질주에 수입차 전기차 앞다퉈 국내 출시..판매 8배로↑,"['테슬라', '질주', '수입', '차', '전기차', '앞', '국내', '출시', '판매', '배']"
연합뉴스,"현대차, 수소전기차 '넥쏘' 올해 국내 판매목표 1만대 이상","['현대차', '수소', '전기차', '넥쏘', '올해', '국내', '판매', '목표', '이상']"
뉴시스,올해 '수출 1호 전기차' 유럽으로 출발..수소트럭 현지 시범운행,"['올해', '수출', '호', '전기차', '유럽', '출발', '수소', '트럭', '현지', '시범', '운행']"
파이낸셜뉴스,"日 니혼덴산, 전기차 모터 승부수.. 2000억엔 글로벌 투자","['니혼덴산', '전기차', '모터', '승부', '수', '글로벌', '투자']"
지디넷코리아,"이재용-정의선 회동, 미래 전기차 협력 물꼬 틀까","['이재용', '정의선', '회', '미래', '전기차', '협력', '물꼬']"
연합뉴스,포드도 전기차 배터리 자체생산 움직임..K배터리 '긴장',"['포드', '전기차', '배터리', '자체', '생산', '움직임', '배터리', '긴장']"
머니투데이,"'3단 로켓' 올라탄 韓 전기차, 테슬라 겨냥","['단', '로켓', '전기차', '테슬라', '겨냥']"
동아일보,"""누가 당선돼도 전기차 전환 가속도"" 설레는 업계","['누가', '당선', '전기차', '전환', '가속도', '업계']"
국민일보,"""초반 주도권 잡아라"".. 전기차 시장 전략적 협력 열풍","['초반', '주도', '전기차', '시장', '전략', '협력', '열풍']"
머니투데이,"""저 세상 주식"" 옛말?..테슬라 널뛰자 전기차株 '멀미'","['저', '세상', '주식', '옛말', '테슬라', '널', '전기차', '멀미']"
연합뉴스,수출품의 혁신..반도체·석유화학 부진 속 전기차·바이오 약진,"['출품', '혁신', '반도체', '석유화학', '부진', '속', '전기차', '바이오', '약진']"
조선비즈,"'불붙는' 전기차업계, 잇따라 리콜.. K-배터리 타격 불가피","['불', '전기차', '업계', '리콜', '배터리', '타격', '불가피']"
YTN,1일 연료비 5백원?! 각광받는 초소형 전기차 [김필수의 CAR~~ 좋다!],"['연료비', '백원', '각광', '초소', '전기차', '김필수']"
동아일보,유럽이 사랑한 전기차 '르노 조에' 국내 상륙.. 최대 309km 주행,"['유럽', '사랑', '전기차', '르노', '조', '국내', '상륙', '최대', '주행']"
일간스포츠,"""220V만 있으면 충전 OK""..초소형 전기차가 뜬다","['만', '충전', '초소', '전기차']"
전자신문,"대구, '코로나19'로 전기차 보급량 절반 줄인다","['대구', '코로나', '로', '전기차', '보', '급량', '절반']"
조선비즈,전기차에 세금 부과?.. 유류세 감소에 자구책 내놓은 호주,"['전기차', '세금', '부과', '유류', '세', '감소', '자구', '책', '호주']"
연합뉴스,전기차·코로나에 완성차업계 고용불안 고조..임단협도 난항,"['전기차', '코로나', '완성', '차', '업계', '고용', '불안', '고조', '임단협', '난항']"
중앙일보,테슬라 주가 하루 만에 20% 급등 ..엑셀 밟는 전기차 관련주,"['테슬라', '주가', '하루', '급등', '엑셀', '전기차', '관련', '주']"
머니투데이,현대 전기차 이제부턴 '아이오닉'..핸드폰처럼 '번호'로 부른다,"['현대', '전기차', '이제', '아이오', '닉', '핸드폰', '번호', '로']"
한국경제,[천자 칼럼] 전기차 '충전 난민',"['천자', '칼럼', '전기차', '충전', '난민']"
쿠키뉴스,테슬라 열풍에 국내 전기차 시장 '경쟁 치열',"['테슬라', '열풍', '국내', '전기차', '시장', '경쟁', '치열']"
디지털타임스,"""테슬라 스톱""..국내 전기차 시장 춘추전국시대 개막","['테슬라', '스톱', '국내', '전기차', '시장', '춘추전국시대', '개막']"
전자신문,[사설]전기차 보조금 효율성 높이자,"['사설', '전기차', '보조금', '효율', '높이']"
오토타임즈,"전기차 폐배터리 반납 의무 폐지, 보조금 유출 대안은?","['전기차', '폐', '배터리', '반납', '의무', '폐지', '보조금', '유출', '대안']"
지디넷코리아,전기차 '루시드 에어' 공개..테슬라 위협할까,"['전기차', '루', '시드', '에어', '공개', '테슬라', '위협']"
한겨레,"""엔진차보다 싸게"" 전기차 '100달러 배터리팩' 경쟁","['엔진', '차보', '전기차', '배터리', '팩', '경쟁']"
조선비즈,중국 전기차가 온다,"['중국', '전기차']"
디지털타임스,"[포럼] 전기차시대, 관건은 소비자","['포럼', '전기차', '시대', '관건', '소비자']"
머니투데이,"車램프 사업 2000억 투자 유치..LG, 전기차 R&D 속도낸다","['램프', '사업', '투자', '유치', '전기차', '속도']"
조선비즈,"전기차 시대, 불붙는 모터스포츠·고성능차 경쟁","['전기차', '시대', '불', '모터스포츠', '고성능', '차', '경쟁']"
데일리안,"[시승기] 르노 전기차 '조에', 도심 출퇴근의 알뜰한 동반자","['승기', '르노', '전기차', '조', '도심', '출퇴근', '동반']"
연합뉴스,"이재용·정의선, 단독 회동..현대차-삼성 전기차 배터리 첫 논의","['이재용', '정의선', '단독', '회', '현대차', '삼성', '전기차', '배터리', '첫', '논의']"
경향신문,"정의선·구광모, 이번엔 차세대 전기차 배터리 '동맹'","['정의선', '구광모', '이번', '차세대', '전기차', '배터리', '동맹']"
머니투데이,"전기차 배터리 시장, 10년 뒤 '214.7조원'..메모리반도체 추월","['전기차', '배터리', '시장', '뒤', '메모리', '반도체', '추월']"
오토타임즈,"'배기음 장인' 마세라티, 전기차에 입힐 소리는?","['장인', '마세라티', '전기차', '소리']"
연합뉴스,넥쏘의 힘..현대차 수소전기차 세계 판매 1만대 돌파,"['넥쏘', '힘', '현대차', '수소', '전기차', '세계', '판매', '돌파']"
뉴시스,정의선·구광모 '배터리 회동' 성사..미래 전기차 배터리 협력 논의,"['정의선', '구광모', '배터리', '회', '성사', '미래', '전기차', '배터리', '협력', '논의']"
한겨레,제로백 3초..슈퍼카를 삼킨 전기차,"['제로', '슈퍼카', '전기차']"
조선일보,"""테슬라 독주 막아라"".. 수입차 업계도 전기차 공세","['테슬라', '독주', '수입', '차', '업계', '전기차', '공세']"
오토타임즈,[르포]전기차 최적화 '아틀란 내비' 직접 사용해보니,"['르포', '전기차', '최적화', '내비', '직접', '사용']"
디지털타임스,전동화 속도내는 '제네시스'.. 내년 전기차 4종 출격,"['동화', '속도', '제네시스', '내년', '전기차', '종', '출격']"
지디넷코리아,유럽-중국 전기차 배터리 협력 강화,"['유럽', '중국', '전기차', '배터리', '협력', '강화']"
노컷뉴스,푸조 e-208 출격..2천만 원대 수입 전기차,"['푸조', '출격', '원대', '수입', '전기차']"
동아일보,SM3 전기차 파격..보조금 600만원 더 준다,"['전기차', '파격', '보조금', '더']"
국민일보,"[단독]전기차 충전시설 '불법주차' 단속, 장애인주차구역만큼 강화","['단독', '전기차', '충전', '시설', '불법', '주차', '단속', '장애인', '주차', '구역', '강화']"
중앙일보,[기고] 한진의 전기차 상생과 '한국판 테슬라' 탄생,"['기고', '한진', '전기차', '상생', '한국판', '테슬라', '탄생']"
뉴시스,전기차 시대 왔나?..'배터리 3사'에 관심집중,"['전기차', '시대', '배터리', '사', '관심', '집중']"
연합뉴스,전기차 충전·초소형 전기특수차 운행..제주·전북서 실증 착수,"['전기차', '충전', '초소', '전기', '특수', '차', '운행', '제주', '전북', '실증', '착수']"
전자신문,GS·포스코 대기업마저..'中 전기차 국내유통' 가세,"['포스코', '대기업', '전기차', '국내', '유통', '가세']"
머니투데이,국내 '달리는 공기청정기' 수소전기차 '6000대' 넘어섰다,"['국내', '공기청정기', '수소', '전기차']"
뉴시스,코로나19에 전기차 '고속질주'..이유는?,"['코로나', '전기차', '고속', '질주', '이유']"
연합뉴스,"SKT, 모빌리티 사업 가속화..바이톤과 국내 전기차 출시 협력","['모빌리티', '사업', '가속', '바이', '톤', '국내', '전기차', '출시', '협력']"
전자신문,"6개 지자체, 전기차 예산 반납..6.5만대 달성 '빨간불'","['개', '지자체', '전기차', '예산', '반납', '달성', '불']"
지디넷코리아,[시승기] '고속전비 5.7km/kWh' 벤츠 순수 전기차 EQC,"['승기', '비', '벤츠', '순수', '전기차']"
지디넷코리아,"美 클린테크니카 ""한국은 전기차 시장 불모지"" 일침","['클린', '테크', '카', '한국', '전기차', '시장', '불모', '일침']"
한국경제,상반기 전기차 보조금..테슬라·중국 버스가 '싹쓸이',"['상반기', '전기차', '보조금', '테슬라', '중국', '버스', '싹']"
한국경제,"中 전기차, 테슬라 아성 넘본다","['전기차', '테슬라', '아성']"
SBS,"테슬라 앞세운 외국 전기차, 한국서 고속질주","['테슬라', '외국', '전기차', '한국', '고속', '질주']"
매일경제,[Car] 작지만 다부진 '유럽 전기차 자존심'..테슬라 게 섰거라!,"['작', '유럽', '전기차', '자존심', '테슬라', '게']"
머니투데이,"LG전자, 전기차 부품사업 '승부수' ..구광모 회장 결단 있었다","['전자', '전기차', '부품', '사업', '승부', '수', '구광모', '회장', '결단']"
연합뉴스,"현대기아차, 美스타트업 카누와 전기차 플랫폼 개발 협력","['현대', '기아차', '스타트업', '카누', '전기차', '플랫폼', '개발', '협력']"
연합뉴스,"GM, 한국산 배터리 장착 전기차 6만9천대 리콜..""화재 위험""","['국산', '배터리', '장착', '전기차', '리콜', '화재', '위험']"
중앙일보,유럽선 인기라는데 국내서도?..르노 전기차 '조에' 보조금 확정,"['유럽', '선', '인기', '데', '국내', '서도', '르노', '전기차', '조', '보조금', '확정']"
파이낸셜뉴스,K-전기차 질주..글로벌 車산업 지각변동,"['전기차', '질주', '글로벌', '산업', '지각', '변동']"
매일경제,[단독] 주유소서 기름 넣듯..전기차도 급속충전,"['단독', '주유소', '기름', '전기차', '급속', '충전']"
지디넷코리아,"모헤닉 전기차 'Ms' 인도 왜 늦나..""투자비 소요""","['모헤닉', '전기차', '인도', '왜', '늦', '투', '자비', '소요']"
연합뉴스,"미 조지아주지사 ""SK 전기차배터리 투자, 업계 게임체인저 될것""","['조지아주', '지사', '전기차', '배터리', '투자', '업계', '게임', '체인', '저']"
경향신문,오직 테슬라만 팔렸다..'승자독식'의 국내 전기차 시장,"['오직', '테슬라', '승자', '독식', '의', '국내', '전기차', '시장']"
조선비즈,"테슬라, GM에 이어 포드도 전기차 배터리 자체 생산","['테슬라', '포드', '전기차', '배터리', '자체', '생산']"
조선비즈,정의선·구광모 첫 단독 회동.. 전기차 배터리 협력 강화(종합),"['정의선', '구광모', '첫', '단독', '회', '전기차', '배터리', '협력', '강화', '종합']"
중앙일보,"어쩐지 많이 보이더라..테슬라 모델3, 국내 전기차 판매 왕좌","['어쩐지', '테슬라', '모델', '국내', '전기차', '판매', '왕좌']"
머니투데이,"'기능아닌 고객상황 최우선' 기아, 전기차 조직개편 단행","['기능', '고객', '상황', '최', '우선', '기아', '전기차', '조직개편', '단행']"
파이낸셜뉴스,2025년 전기차 100만 시대..車값 1000만원 내린다,"['전기차', '시대', '값', '린다']"
연합뉴스,테슬라는 '3년내 반값' 선언..국산 전기차는 4∼5년 걸릴 듯,"['테슬라', '반값', '선언', '국산', '전기차', '듯']"
매일경제,전기차 올라탄 현대차..내년 증시도 '씽씽',"['전기차', '현대차', '내년', '증시']"
조선비즈,[차이나 모빌리티] 불타는 전기차..中 샤오펑·리샹 잇단 화재 사고,"['차이나', '모빌리티', '전기차', '샤오펑', '리샹', '화재', '사고']"
연합뉴스,"SK ""한번 충전 500km 가는 전기차 배터리 2022년 미국서 양산""","['한번', '충전', '전기차', '배터리', '미국', '양산']"
동아일보,혁신없는 배터리.. 2900만원 '반값 전기차'로 불질러,"['혁신', '배터리', '반값', '전기차', '로', '불']"
뉴시스,전기차 113만대·수소차 20만대 보급..노후경유차 퇴출 총력,"['전기차', '수소차', '보급', '노후', '유차', '퇴', '총력']"
동아일보,"[단독]""전기차 충전기 놀고 있는데.. 기본료 부과하면 충전료 올려야""","['단독', '전기차', '충전기', '기본', '료', '부과', '충전', '료']"
디지털타임스,국내 전기차 10만대 시대 '초읽기',"['국내', '전기차', '시대', '초읽기']"
중앙일보,"주가 1250% 폭등 中 니오, 승승장구 테슬라..전기차 전성시대","['주가', '폭등', '오', '승승장구', '테슬라', '전기차', '전성', '시대']"
KBS,[ET] 전기차 폐배터리 재활용 어디까지 왔나?,"['전기차', '폐', '배터리', '재활용', '어디']"
뉴시스,"[올댓차이나] 中 차량공유 디디추싱, 전용 전기차 BYD와 공동개발","['차이나', '차량', '공유', '디디', '추싱', '전용', '전기차', '공동', '개발']"
지디넷코리아,완속보다 급속?..거꾸로 가는 전기차 충전기 확대 정책,"['완속', '급속', '거꾸로', '전기차', '충전기', '확대', '정책']"
한국경제TV,배터리 화재로 들여다본 한국 전기차의 현주소,"['배터리', '화재', '한국', '전기차', '현주소']"
한국경제,2000만원 사정권 들어온 전기차 '완판'..지각변동 시작됐다,"['정권', '전기차', '완판', '지각', '변동', '시작']"
머니투데이,"""테슬라 게섰거라"" 국산 전기차, 내년이 더 기대되는 이유","['테슬라', '게', '국산', '전기차', '내년', '더', '기대', '이유']"
오토타임즈,"상반기 전기차 판매, 상용차 늘고 초소형차 줄고","['상반기', '전기차', '판매', '상용차', '늘', '초', '소형차', '줄']"
뉴시스,내년 9월 '전기차 급속충전' 시연 축제,"['내년', '전기차', '급속', '충전', '시연', '축제']"
뉴시스,"유엔무역개발회의 ( UNCTAD), 전기차 붐 후유증 우려","['유엔', '무역', '개발', '회의', '전기차', '붐', '후유증', '우려']"
조선비즈,정의선 '전기차 동맹' 키운다..불붙은 글로벌 전기차 합종연횡,"['정의선', '전기차', '동맹', '불', '글로벌', '전기차', '합종연횡']"
아이뉴스24,"애플, 전기차 배터리 시장서 다크호스될까?","['애플', '전기차', '배터리', '시장', '다크호스']"
조선일보,이재용·정의선 '차세대 전기차 배터리' 손잡다,"['이재용', '정의선', '차세대', '전기차', '배터리']"
파이낸셜뉴스,전기차 충전소 민원 느는데.. 충전 방해 단속법령 '유명무실',"['전기차', '충전', '소', '민원', '충전', '방해', '단속', '법령', '유명무실']"
연합뉴스,전기차 5년 안에 113만대 보급..전기차 대중화 시대 연다,"['전기차', '안', '보급', '전기차', '대중화', '시대', '연']"
파이낸셜뉴스,"E-GMP, 모듈화·표준화..개념부터 다른 전기차 만든다","['모듈', '표준화', '개념', '다른', '전기차']"
지디넷코리아,그린뉴딜로 전기차 보급 12배 늘린다는데..어떻게?,"['그린', '뉴딜', '전기차', '보급', '배']"
파이낸셜뉴스,전기차 보조금 손질 나선 정부.. 테슬라 고가모델 정조준,"['전기차', '보조금', '손질', '나선', '정부', '테슬라', '고가', '모델', '정', '조준']"
지디넷코리아,"전기차 충전방해 단속, 완속충전기까지 확대","['전기차', '충전', '방해', '단속', '완', '충전기', '확대']"
한국경제,"""이제 굳이 탈 이유가 없다""..'경제성' 매력 떨어진 전기차","['이제', '굳이', '탈', '이유', '경제성', '매력', '전기차']"
연합뉴스,이재용·정의선 단독 회동..현대차-삼성 전기차 배터리 첫 논의(종합),"['이재용', '정의선', '단독', '회', '현대차', '삼성', '전기차', '배터리', '첫', '논의', '종합']"
세계일보,"전기차 2만대 시대 연 제주, 앞날은 '빨간불'","['전기차', '시대', '연', '제주', '앞날', '불']"
뉴시스,[車블랙박스]안방 점령한 테슬라..하반기 전기차 경쟁 치열,"['블랙박스', '안방', '점령', '테슬라', '하반기', '전기차', '경쟁', '치열']"
지디넷코리아,"우체국 전기차, 아파트 보행 전용구간 과격 운전 논란","['우체국', '전기차', '아파트', '보행', '전용', '구간', '과격', '운전', '논란']"
연합뉴스,"제주, 택시·렌터카 운송 사업체 전기차 구매 지원 확대","['제주', '택시', '렌터카', '운송', '업체', '전기차', '구매', '지원', '확대']"
머니투데이,테슬라 '배터리 데이' D-1..전기차 생태계 뒤흔들 키워드 3,"['테슬라', '배터리', '데이', '전기차', '생태계', '뒤', '키', '워드']"
중앙일보,유럽 전기차 배터리 왜 한중일 차지? '독립운동' 나선 영프독,"['유럽', '전기차', '배터리', '왜', '한중일', '차지', '독립운동', '나선', '영프독']"
연합뉴스,중국 CATL 배터리 단 전기차 잇따라 화재..중국 배터리는 아직?,"['중국', '배터리', '단', '전기차', '화재', '중국', '배터리']"
연합뉴스,전기차 충전소 누가 주도해야 하나..미국서 갑론을박,"['전기차', '충전', '소', '누가', '하나', '미국', '갑론', '박']"
머니투데이,"스타코프 차지콘®, 원활한 아파트 전기차 충전 가능","['스타코', '프', '차지', '콘', '아파트', '전기차', '충전', '가능']"
연합뉴스,"테슬라, 내년부터 중국 상하이에 전기차 충전대 공장 가동","['테슬라', '내년', '중국', '상하이', '전기차', '충전', '공장', '가동']"
경향신문,전기차 전환·탈석탄 가속..'친환경'은 선택 아닌 생존의 필수조건 [기후변화와 산업 재편],"['전기차', '전환', '탈', '석탄', '가속', '친환경', '은', '선택', '생존', '필수', '조건', '기후변화', '산업', '재편']"
지디넷코리아,"전기차 시대 여는 바이든, 美 전역 50만개 충전소 설치한다","['전기차', '시대', '여', '바이든', '전역', '충전', '소', '설치']"
지디넷코리아,화재 논란 이어 '벽돌현상'까지..속 타는 코나 전기차 오너,"['화재', '논란', '벽돌', '현상', '속', '코', '전기차', '너']"
연합뉴스,해외서도 전기차 잇단 화재 이슈..전전긍긍하는 K배터리,"['해외', '서도', '전기차', '화재', '이슈', '전전긍긍', '배터리']"
동아일보,"현대차, 전기차 브랜드 '아이오닉' 론칭.. 내년 준중형 CUV 첫선","['현대차', '전기차', '브랜드', '아이오', '닉', '론칭', '내년', '준', '중형', '선']"
