press,headline
프레시안,"포스코퓨처엠, 광양 미래세대 '푸른꿈 환경캠프' 개최…다양한 환경교육"
한국경제,1위 인피니언도 1400명 줄였다…차량용 반도체 '한파'
노컷뉴스,"금산서 주차된 전기차서 불…""차량 하부서 연기""(종합)"
조선일보,"중국 SW 쓴 자율주행차, 美서 운행 못한다... 이달 중 방안 발표"
중앙일보,‘전기차 포비아’에…“내 전기차 배터리 제조사는” 인증 요구 봇물
뉴시스,"경찰, 국과수와 청라 아파트 전기차 화재감식 진행 [뉴시스Pic]"
국제신문,"중부발전, 발전 공기업 최초로 '무공해' 수소전기버스 도입"
경향신문,"행안부, 지하주차장 화재 인천 서구에 2000만원 긴급 지원···특별재난지역 선포엔 ‘난색’"
연합뉴스,엘앤에프 2분기 영업손실 842억원…전분기 대비 적자 축소(종합2보)
한국경제,"[사설] 언제 불날지 모를 전기차, 화재 대책 재설계해야"
국민일보,[단독] “배터리 불 확률 0.025%” 홍보 2달 만에 청라 화재
한국경제,뒤집히는 생산지형…'중국의 공장'된 美·유럽
데일리안,"저무는 디젤 시대에…폭스바겐 코리아, 디젤차 들여오는 이유는?"
YTN,'일상 마비' 부른 인천 전기차 화재...배·보상 어떡하나
세계일보,“완속으로 85~90%만 충전…전기차 화재 예방 가능”
지디넷코리아,'수입차 4위→10위' 폭스바겐이 풀어야 할 숙제는
YTN,'폭염 전기료·전기차 화재' 대책 급한데...여야 '민생 엇박자'
JTBC,"'전기차 포비아' 확산…""지하주차장 출입금지"" 주민 갈등 점화"
MBC,'전기차 화재' 청라 아파트 감식‥닷새째 이재민 생활
쿠키뉴스,서울서 전기화물차･택시 사면 최대 100만원 추가지원
파이낸셜뉴스,예방책 없는 전기차 화재… 관리는 ‘지자체 각자도생’
YTN,화재 전기차 배터리 정밀 감식...지하주차장 주차 문제로 갈등
아이뉴스24,"""또?""…인천 전기차 화재 원인 의심 사는 '중국산 배터리'"
디지털타임스,전기차 배터리 화재·폭발 원인 찾아…온도 급상승 `열폭주` 막는다
파이낸셜뉴스,"""며칠이나 됐다고""…전기차 EV6 '활활' 불탔다"
연합뉴스TV,[제보23] 빗길에 차 넘어져 6명 다쳐…대규모 정전 피해도 外
